"Time","Immigration","Reform UK","Labour Party","Conservative Party","Scottish National Party","Liberal Democrats","Inflation","UK Independence Party"
"2004-01-01",29,0,8,6,1,2,8,0
"2004-02-01",28,0,7,6,1,3,7,1
"2004-03-01",26,0,7,5,1,2,10,1
"2004-04-01",29,0,6,5,1,2,9,1
"2004-05-01",29,0,7,6,1,3,7,5
"2004-06-01",24,0,8,7,1,5,7,12
"2004-07-01",27,0,5,4,1,3,5,2
"2004-08-01",27,0,5,3,1,2,5,1
"2004-09-01",26,0,10,6,1,4,6,1
"2004-10-01",24,0,8,7,1,3,6,4
"2004-11-01",23,0,7,5,1,2,7,2
"2004-12-01",21,0,6,4,0,2,7,1
"2005-01-01",25,0,8,6,1,3,7,2
"2005-02-01",27,0,8,6,1,3,7,2
"2005-03-01",26,0,9,7,1,4,8,1
"2005-04-01",27,0,28,28,2,20,8,6
"2005-05-01",26,0,17,16,2,13,6,4
"2005-06-01",22,0,4,3,0,2,5,1
"2005-07-01",21,0,4,3,0,2,5,0
"2005-08-01",24,0,4,2,1,2,5,1
"2005-09-01",23,0,7,4,1,3,5,0
"2005-10-01",23,0,5,7,1,2,6,1
"2005-11-01",22,0,6,5,1,2,7,1
"2005-12-01",18,0,4,6,0,2,5,1
"2006-01-01",21,0,5,5,1,6,7,1
"2006-02-01",20,0,5,4,1,4,6,1
"2006-03-01",22,0,6,4,1,3,7,1
"2006-04-01",21,0,5,4,1,3,6,1
"2006-05-01",20,0,6,5,1,3,6,1
"2006-06-01",19,0,3,3,1,2,4,1
"2006-07-01",20,0,3,3,1,2,4,1
"2006-08-01",20,0,3,3,1,2,4,1
"2006-09-01",21,0,8,6,1,3,5,1
"2006-10-01",18,0,5,6,1,2,5,1
"2006-11-01",19,0,4,4,1,2,6,1
"2006-12-01",16,0,3,3,1,2,5,1
"2007-01-01",21,0,3,3,1,2,9,1
"2007-02-01",18,0,4,3,1,2,7,1
"2007-03-01",18,0,4,4,1,2,7,1
"2007-04-01",19,0,5,4,3,3,7,1
"2007-05-01",19,0,6,5,5,4,6,1
"2007-06-01",19,0,5,3,1,2,5,1
"2007-07-01",18,0,4,4,1,2,5,1
"2007-08-01",19,0,3,2,1,1,5,1
"2007-09-01",17,0,5,4,1,2,5,1
"2007-10-01",20,0,4,5,1,3,6,1
"2007-11-01",19,0,4,4,1,2,7,1
"2007-12-01",16,0,3,2,1,2,6,1
"2008-01-01",22,0,3,3,1,2,7,1
"2008-02-01",23,0,3,3,1,2,7,1
"2008-03-01",23,0,3,3,1,2,8,1
"2008-04-01",22,0,4,3,1,2,8,1
"2008-05-01",19,0,4,5,1,2,7,1
"2008-06-01",19,0,3,3,1,2,8,1
"2008-07-01",19,0,3,2,1,1,7,1
"2008-08-01",17,0,2,2,1,1,6,1
"2008-09-01",20,0,6,4,1,2,7,1
"2008-10-01",17,0,3,3,1,2,7,1
"2008-11-01",17,0,3,3,1,2,7,1
"2008-12-01",14,0,2,2,0,1,5,0
"2009-01-01",18,0,3,3,1,2,6,1
"2009-02-01",16,0,3,3,1,2,6,1
"2009-03-01",17,0,3,3,1,2,7,1
"2009-04-01",16,0,3,3,1,2,5,1
"2009-05-01",15,0,4,7,1,3,5,6
"2009-06-01",15,0,5,6,1,4,4,7
"2009-07-01",14,0,2,3,1,1,3,1
"2009-08-01",15,0,2,2,1,1,3,1
"2009-09-01",15,0,5,4,1,2,4,1
"2009-10-01",16,0,4,7,1,2,4,1
"2009-11-01",15,0,3,4,1,2,5,1
"2009-12-01",12,0,2,3,1,1,4,1
"2010-01-01",16,0,3,4,0,2,5,1
"2010-02-01",17,0,4,5,1,2,6,2
"2010-03-01",16,0,6,6,1,4,6,2
"2010-04-01",17,0,21,25,2,25,5,9
"2010-05-01",17,0,21,30,2,22,6,7
"2010-06-01",16,0,4,3,0,2,5,1
"2010-07-01",14,0,3,2,0,2,4,1
"2010-08-01",13,0,3,2,0,1,4,1
"2010-09-01",13,0,9,3,0,3,5,1
"2010-10-01",13,0,5,4,1,2,5,1
"2010-11-01",14,0,3,3,0,2,6,1
"2010-12-01",12,0,3,2,0,2,5,1
"2011-01-01",14,0,3,3,0,2,6,1
"2011-02-01",13,0,3,3,1,2,6,1
"2011-03-01",14,0,3,3,1,3,6,1
"2011-04-01",13,0,3,3,2,2,5,2
"2011-05-01",12,0,4,3,4,3,6,1
"2011-06-01",13,0,2,2,1,1,5,1
"2011-07-01",13,0,2,2,1,1,4,1
"2011-08-01",12,0,2,2,1,1,4,1
"2011-09-01",12,0,4,3,1,3,5,1
"2011-10-01",12,0,3,3,1,1,5,1
"2011-11-01",12,0,3,3,1,1,6,1
"2011-12-01",9,0,2,2,1,1,5,1
"2012-01-01",12,0,3,3,1,1,5,1
"2012-02-01",12,0,3,2,1,1,5,1
"2012-03-01",11,0,3,3,1,2,6,1
"2012-04-01",12,0,3,2,1,2,5,2
"2012-05-01",11,0,4,2,1,2,5,2
"2012-06-01",13,0,2,2,1,1,4,1
"2012-07-01",11,0,2,1,0,1,3,1
"2012-08-01",11,0,2,1,0,1,3,1
"2012-09-01",11,0,3,2,1,2,4,2
"2012-10-01",11,0,4,3,1,1,4,1
"2012-11-01",11,0,3,4,1,1,4,6
"2012-12-01",10,0,2,2,0,1,4,3
"2013-01-01",13,0,2,2,1,1,5,3
"2013-02-01",12,0,3,2,1,2,5,3
"2013-03-01",13,0,3,2,1,2,5,6
"2013-04-01",12,0,4,3,1,1,5,7
"2013-05-01",12,0,3,2,1,1,5,18
"2013-06-01",11,0,2,2,0,1,3,3
"2013-07-01",11,0,3,1,0,1,3,2
"2013-08-01",11,0,2,1,0,1,3,3
"2013-09-01",11,0,4,3,1,2,3,4
"2013-10-01",13,0,3,3,1,1,4,3
"2013-11-01",12,0,3,2,1,1,5,3
"2013-12-01",10,0,2,2,1,1,4,3
"2014-01-01",14,0,3,2,1,2,5,6
"2014-02-01",13,0,3,2,1,1,5,4
"2014-03-01",13,0,3,2,1,2,6,5
"2014-04-01",12,0,3,2,1,1,5,15
"2014-05-01",14,0,8,4,1,4,5,65
"2014-06-01",12,0,3,2,1,1,4,8
"2014-07-01",12,0,3,2,1,1,3,3
"2014-08-01",11,0,3,2,1,1,3,4
"2014-09-01",12,0,6,4,8,2,4,8
"2014-10-01",13,0,4,3,3,2,4,18
"2014-11-01",14,0,4,2,3,2,5,12
"2014-12-01",12,0,3,2,2,1,4,12
"2015-01-01",13,0,4,3,2,2,6,9
"2015-02-01",12,0,5,3,2,2,6,14
"2015-03-01",13,0,8,5,4,3,6,14
"2015-04-01",16,0,20,15,11,9,5,38
"2015-05-01",19,0,37,35,17,13,5,41
"2015-06-01",16,0,6,3,3,2,4,4
"2015-07-01",13,0,10,2,3,2,3,3
"2015-08-01",16,0,17,2,2,1,3,2
"2015-09-01",21,0,24,3,2,2,4,4
"2015-10-01",14,0,5,4,2,1,4,2
"2015-11-01",14,0,5,3,2,1,4,3
"2015-12-01",10,0,5,2,2,1,4,3
